id,is_public,priority,status,subject,description,type,assignee_id,requester_id,created_at,url
35,t,low,pending,Cron trigger failing for promotions updates,"Hi Hasura team,

Our cron trigger for updating promotions is failing:

Trigger configuration:
```yaml
name: update_promotions_status
schedule: ""*/15 * * * *""
payload:
  operation: ""bulk_update""
  table: ""promotions""
webhook: https://cron.europe-west4/update
```

Error:
```
constraint violation
Last run: 2 minutes ago
Affected rows: 100M rows
```

How can we make this cron job more reliable?",incident,1754,9,2024-10-09 15:59:34.312147+00,https://hasura.zendesk.com/agent/tickets/35
36,t,normal,closed,Cron trigger failing for user_profiles updates,"Hi Hasura team,

Our cron trigger for updating user_profiles is failing:

Trigger configuration:
```yaml
name: update_user_profiles_status
schedule: ""*/15 * * * *""
payload:
  operation: ""bulk_update""
  table: ""user_profiles""
webhook: https://cron.sa-east-1/update
```

Error:
```
constraint violation
Last run: 60 seconds ago
Affected rows: 50M rows
```

How can we make this cron job more reliable?",,6056,9,2024-10-12 19:48:35.731706+00,https://hasura.zendesk.com/agent/tickets/36
37,t,normal,closed,Metadata inconsistency after version upgrade to v2.21.0,"Hello Hasura team,

After upgrading from v2.21.0 to latest, we're seeing metadata inconsistencies:

```
too many connections in metadata
Affected tables: media, media
```

We've tried:
1. Reloading metadata
2. Clearing metadata
3. Re-tracking tables

How can we resolve these inconsistencies?",,,9,2024-08-17 21:22:56.263346+00,https://hasura.zendesk.com/agent/tickets/37
38,t,urgent,closed,Event trigger role not found for users,"Hi team,

Our event trigger for users is failing:

Configuration:
```yaml
name: process_users_changes
table: users
webhook: https://our-service.australia-southeast1/webhook
retry_conf:
  num_retries: 3
  interval_sec: 10
```

Error:
```
role not found when processing event
Request volume: 10K/day
Failed after: 10 minutes
```

How can we make our event triggers more reliable?",,7913,10,2024-09-13 16:02:22.170082+00,https://hasura.zendesk.com/agent/tickets/38
39,t,normal,open,Failed deployment to AWS Elastic Beanstalk with too many connections,"Hello Hasura team,

Our deployment to AWS Elastic Beanstalk failed with:

```
too many connections during container initialization
```

Environment:
- Product: Hasura Enterprise
- Version: latest
- Region: eu-west-1
- Database: BigQuery

Deployment logs:
```
Container failed to start
Health check failed after 2 minutes
Last error: too many connections
```

How can we resolve this deployment issue?",,6056,10,2024-07-02 22:42:08.306635+00,https://hasura.zendesk.com/agent/tickets/39
40,t,normal,closed,Memory spikes during upsert operations,"Hello,

We're seeing memory spikes during upsert operations:

Environment:
- Product: Hasura Enterprise
- Database: CockroachDB
- Load: 10K/day

Monitoring shows:
- Memory usage: >80%
- Operation time: 10 minutes
- Error rate: Increasing with schema conflict

What's the recommended resource configuration for our workload?",,7955,10,2024-04-28 10:44:30.144324+00,https://hasura.zendesk.com/agent/tickets/40
41,t,normal,closed,Event trigger webhook timeout on AWS EKS,"Hello,

Event trigger webhooks are timing out on AWS EKS:

Setup:
- Table: promotions
- Events: INSERT, UPDATE
- Concurrent events: 5000
- Timeout: 10 seconds

Error:
```
connection refused: webhook response timeout
Pending events: 1K/day
```

What's the best way to handle high-volume event triggers?",,1454,10,2024-08-21 05:50:53.387519+00,https://hasura.zendesk.com/agent/tickets/41
42,t,normal,closed,High memory usage with many-to-one relationship,"Hello,

Our many-to-one relationship between tables is causing high memory usage:

Setup:
- Parent table: products (10K rows)
- Child table: products (10K rows)
- Request volume: 100/day

Memory usage spikes when querying:
```graphql
query {
  parent {
    child {
      grandchild {
        # deep nesting
      }
    }
  }
}
```

How can we optimize this relationship query?",,7955,10,2024-07-06 10:17:45.507517+00,https://hasura.zendesk.com/agent/tickets/42
43,t,high,pending,Complex permission policy failing on user_logs,"Hello,

Our complex permission policy isn't working:

Policy:
```json
{
  ""role"": ""admin"",
  ""table"": ""user_logs"",
  ""select"": {
    ""filter"": {
      ""_or"": [
        {""org_id"": ""X-Hasura-Org-Id""},
        {""public"": {""_eq"": true}},
        {""shared_with"": {""_contains"": ""X-Hasura-User-Id""}}
      ]
    }
  }
}
```

Error: CPU limit exceeded

How can we implement this permission structure?",,,10,2024-05-18 10:40:39.504884+00,https://hasura.zendesk.com/agent/tickets/43
44,t,normal,closed,Cannot connect to MS SQL Server 2019 on VMware vSphere,"Hi Hasura team,

We're having trouble connecting our MS SQL Server 2019 instance running on VMware vSphere. The connection details appear correct but we keep getting:

Error:
```
check constraint violation: connection failed
```

Environment:
- Product: Hasura Open Source
- Version: v2.22.0
- Region: australia-southeast1
- Database size: 1TB

We've verified network access and credentials. What else should we check?",,7774,12,2024-05-20 03:59:20.172674+00,https://hasura.zendesk.com/agent/tickets/44
45,t,normal,closed,Remote join failing between Amazon Aurora PostgreSQL and remote schema,"Hi,

Remote joins aren't working between our database and remote schema:

Setup:
- Database: Amazon Aurora PostgreSQL
- Remote schema: remote schemas API
- Join field: time

Error:
```
incompatible types when executing remote join
Table: error_logs
Remote field: user_data
```

What's the correct remote join configuration?",,1454,12,2024-06-22 07:07:02.926626+00,https://hasura.zendesk.com/agent/tickets/45
46,t,normal,closed,Cannot connect to Heroku PostgreSQL on Docker Compose,"Hi Hasura team,

We're having trouble connecting our Heroku PostgreSQL instance running on Docker Compose. The connection details appear correct but we keep getting:

Error:
```
CPU limit exceeded: connection failed
```

Environment:
- Product: Hasura Cloud Standard
- Version: latest
- Region: ap-southeast-1
- Database size: 10TB

We've verified network access and credentials. What else should we check?",,8907,12,2024-08-28 12:34:05.115595+00,https://hasura.zendesk.com/agent/tickets/46
47,t,normal,closed,Remote schema requests failing after 5 minutes,"Hi,

Remote schema requests are timing out after 5 minutes:

Environment:
- Endpoint: asia-northeast1
- Load: 100M/day
- Users: 500

Error log:
```
insufficient privileges: upstream service timeout
Failed requests: 100M/day
```

What's the recommended timeout configuration for remote schemas?",incident,7913,12,2024-09-16 09:46:28.259134+00,https://hasura.zendesk.com/agent/tickets/47
48,t,normal,closed,Event trigger schema conflict for metrics,"Hi team,

Our event trigger for metrics is failing:

Configuration:
```yaml
name: process_metrics_changes
table: metrics
webhook: https://our-service.us-west-2/webhook
retry_conf:
  num_retries: 3
  interval_sec: 10
```

Error:
```
schema conflict when processing event
Request volume: 10K/day
Failed after: 5 minutes
```

How can we make our event triggers more reliable?",,7774,12,2024-06-30 22:33:08.753233+00,https://hasura.zendesk.com/agent/tickets/48
49,t,normal,closed,Multiple Supabase Auth roles not working,"Hi Hasura support,

Having issues with multiple auth roles from Supabase Auth:

Configuration:
```yaml
jwt:
  claims_map:
    x-hasura-allowed-roles: [""x-Supabase Auth-roles""]
    x-hasura-default-role: ""editor""
```

Current roles:
- Primary: editor
- Secondary: editor

Error: version mismatch

How should we configure multiple role mapping?",,7840,12,2024-07-19 20:13:47.051633+00,https://hasura.zendesk.com/agent/tickets/49
50,t,high,closed,Failed deployment to Docker Desktop with column access denied,"Hello Hasura team,

Our deployment to Docker Desktop failed with:

```
column access denied during container initialization
```

Environment:
- Product: Hasura Cloud Pro
- Version: v2.18.0
- Region: sa-east-1
- Database: CockroachDB

Deployment logs:
```
Container failed to start
Health check failed after 5 seconds
Last error: column access denied
```

How can we resolve this deployment issue?",incident,,13,2024-06-05 08:07:50.233748+00,https://hasura.zendesk.com/agent/tickets/50
51,t,normal,open,Query performance degradation on orders,"Hi Hasura team,

We're seeing significant performance issues with queries on orders:

Details:
- Table size: 1K rows
- Concurrent users: 50000
- Query complexity: 5000
- Response time: > 30 seconds

Query pattern:
```graphql
query {
  $orders(
    where: { status: { _eq: ""active"" } }
    order_by: { created_at: desc }
  ) {
    id
    # nested fields
  }
}
```

How can we optimize this query?",,7840,13,2024-07-13 19:09:22.074265+00,https://hasura.zendesk.com/agent/tickets/51
52,t,normal,closed,Multiple Supabase Auth roles not working,"Hi Hasura support,

Having issues with multiple auth roles from Supabase Auth:

Configuration:
```yaml
jwt:
  claims_map:
    x-hasura-allowed-roles: [""x-Supabase Auth-roles""]
    x-hasura-default-role: ""admin""
```

Current roles:
- Primary: admin
- Secondary: admin

Error: connection timeout

How should we configure multiple role mapping?",,1454,13,2024-04-30 11:38:39.730903+00,https://hasura.zendesk.com/agent/tickets/52
53,t,normal,open,Custom webhook authentication failing,"Hi Hasura team,

Our custom webhook authentication is failing with role not found. Setup:

Webhook config:
```yaml
auth:
  webhook:
    mode: POST
    url: https://our-auth-server/europe-west4
    timeout: 60 seconds
```

Current load:
- Request volume: 100/day
- Concurrent users: 5000

How can we debug this?",,6056,13,2024-07-27 22:12:58.209373+00,https://hasura.zendesk.com/agent/tickets/53
54,t,normal,closed,JWT token validation failing for viewer role,"Support needed,

JWT validation is failing for our viewer role. Setup:

- Auth provider: Magic.link
- Algorithm: RS256
- Product: Hasura Community Edition

Error:
```
version mismatch: invalid claims for role viewer
```

JWT payload structure:
```json
{
  ""sub"": ""user123"",
  ""role"": ""viewer"",
  ""https://hasura.io/jwt/claims"": {
    ""x-hasura-allowed-roles"": [""viewer""],
    ""x-hasura-default-role"": ""viewer""
  }
}
```

What's wrong with our JWT configuration?",,8907,13,2024-09-17 08:07:43.918092+00,https://hasura.zendesk.com/agent/tickets/54
55,t,normal,open,Event trigger insufficient privileges for roles,"Hi team,

Our event trigger for roles is failing:

Configuration:
```yaml
name: process_roles_changes
table: roles
webhook: https://our-service.sa-east-1/webhook
retry_conf:
  num_retries: 3
  interval_sec: 10
```

Error:
```
insufficient privileges when processing event
Request volume: 100M/day
Failed after: 2 minutes
```

How can we make our event triggers more reliable?",incident,7774,14,2024-06-23 20:15:00.87344+00,https://hasura.zendesk.com/agent/tickets/55
56,t,low,closed,Schema conflicts during PostgreSQL 12 migration,"Hello,

We're experiencing schema conflicts while migrating our PostgreSQL 12:

Affected objects:
- Table: user_logs (50M rows)
- Relationship: many-to-one
- Custom types: uuid

Error:
```
foreign key violation: Schema conflict detected
Conflicting objects: user_logs
```

What's the recommended migration strategy?",,6056,14,2024-10-23 20:37:49.367037+00,https://hasura.zendesk.com/agent/tickets/56
57,t,low,closed,Error tracking tables after TimescaleDB migration,"Support team,

After migrating our TimescaleDB to a new instance, we're getting errors tracking tables:

```
role not found when tracking user_profiles
Table size: 1K rows
```

Migration details:
- Source: TimescaleDB on AWS EC2
- Target: New TimescaleDB instance
- Product version: v2.20.0

How can we resolve these tracking issues?",,1454,14,2024-09-28 10:29:02.667956+00,https://hasura.zendesk.com/agent/tickets/57
58,t,normal,closed,Multiple Okta roles not working,"Hi Hasura support,

Having issues with multiple auth roles from Okta:

Configuration:
```yaml
jwt:
  claims_map:
    x-hasura-allowed-roles: [""x-Okta-roles""]
    x-hasura-default-role: ""manager""
```

Current roles:
- Primary: manager
- Secondary: manager

Error: foreign key violation

How should we configure multiple role mapping?",,9554,15,2024-10-12 09:51:47.432169+00,https://hasura.zendesk.com/agent/tickets/58
59,t,high,closed,Query performance degradation on attachments,"Hi Hasura team,

We're seeing significant performance issues with queries on attachments:

Details:
- Table size: 100M rows
- Concurrent users: 100
- Query complexity: 1000
- Response time: > 10 minutes

Query pattern:
```graphql
query {
  $attachments(
    where: { status: { _eq: ""active"" } }
    order_by: { created_at: desc }
  ) {
    id
    # nested fields
  }
}
```

How can we optimize this query?",,7955,15,2024-07-28 16:41:06.792188+00,https://hasura.zendesk.com/agent/tickets/59
60,t,normal,closed,Custom webhook integration not working,"Hi,

We're having trouble integrating Custom webhook with Hasura. Configuration:

```yaml
auth:
  provider: Custom webhook
  jwt:
    algorithm: RS384
    claims_format: json
```

Error received:
```
too many connections when validating JWT
```

What's the correct setup for Custom webhook?",,9554,16,2024-10-23 01:22:11.963956+00,https://hasura.zendesk.com/agent/tickets/60
61,t,normal,closed,Environment variable issues after Minikube migration,"Support team,

After migrating to Minikube, our environment variables aren't being picked up:

Current setup:
```yaml
environment:
  HASURA_GRAPHQL_DATABASE_URL: $GCP Cloud SQL PostgreSQL
  HASURA_GRAPHQL_JWT_SECRET: {""type"":""HS256""}
  HASURA_GRAPHQL_ADMIN_SECRET: ""******""
```

Error:
```
incompatible types: configuration values not found
```

How should we configure environment variables in Minikube?",,7774,16,2024-07-26 16:18:47.868143+00,https://hasura.zendesk.com/agent/tickets/61
62,t,normal,closed,Schema conflicts during TimescaleDB migration,"Hello,

We're experiencing schema conflicts while migrating our TimescaleDB:

Affected objects:
- Table: customers (100K rows)
- Relationship: object relationship
- Custom types: date

Error:
```
role not found: Schema conflict detected
Conflicting objects: customers
```

What's the recommended migration strategy?",,8907,16,2024-08-20 07:53:33.525728+00,https://hasura.zendesk.com/agent/tickets/62
